trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.2, 'e': 0.09877608394766826}",25,13,24.587928258986995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.09581280142923822}",30,11,32.33715799912884,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.09293841738636106}",25,16,15.125499845455252,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.09015026486477022}",20,13,12.023132928377475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.08744575691882712}",20,0,19.884000969737713,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.0848223842112623}",20,4,18.230074838368395,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.08227771268492444}",20,9,20.844552258399123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.0798093813043767}",35,12,24.55825067372383,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.07741509986524539}",20,5,24.174893821455147,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.07509264686928803}",25,11,25.625090136318054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.07283986746320939}",20,0,30.114611060845522,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.0706546714393131}",25,8,32.32860134529082,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.06853503129613371}",20,6,24.716969577094336,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.0664789803572497}",20,13,1.6211591692018166,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.0644846109465322}",30,18,20.297390117351817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.06255007261813623}",20,13,15.462608581428093,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.060673570439592144}",20,8,22.648832749640867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.05885336332640438}",25,18,13.946910584517445,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.057087762426612246}",25,15,21.009402479576064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.05537512955381388}",25,12,4.965306961316762,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.053713875667199464}",25,7,19.165177284027433,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.05210245939718348}",35,24,23.310758067788043,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.05053938561526797}",25,17,14.526975454126964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.04902320404680993}",25,0,39.33998481930791,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
