trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.2, 'e': 0.016423203268260675}",25,0,-175.82767131830616,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
40,False,"{'a': 0.2, 'e': 0.014780882941434608}",35,0,-119.98086417814983,"{0: 25, 1: 1, 2: 7, 3: 0, 4: 2}",0
41,False,"{'a': 0.2, 'e': 0.013302794647291147}",25,0,-132.10691035565006,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.011972515182562033}",25,0,-111.87537996944303,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.01077526366430583}",20,0,-87.82953392954367,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.009697737297875247}",20,0,-40.96423719200183,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.008727963568087723}",20,0,-68.82429489186785,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.00785516721127895}",30,0,-112.98936325057741,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.007069650490151055}",25,0,-128.49772003042935,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.00636268544113595}",25,0,-40.07954883505174,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.0057264168970223555}",20,0,-68.96684967777735,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.00515377520732012}",20,0,-116.01230404429901,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
51,False,"{'a': 0.2, 'e': 0.004638397686588108}",25,0,-200.6749739923207,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.2, 'e': 0.004174557917929297}",20,0,-79.98876722893354,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.0037571021261363674}",30,0,-87.22352153292354,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.003381391913522731}",25,0,-223.358278616585,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
55,False,"{'a': 0.2, 'e': 0.0030432527221704577}",20,0,-71.18995221399706,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.002738927449953412}",20,0,-115.9345356130495,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.2, 'e': 0.002465034704958071}",30,18,-117.14261613520439,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 2}",1
58,False,"{'a': 0.2, 'e': 0.002218531234462264}",30,0,-106.01422589756805,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.0019966781110160375}",25,0,-234.49342562578778,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
60,False,"{'a': 0.2, 'e': 0.001797010299914434}",25,0,-84.92535319635299,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.0016173092699229906}",25,0,-107.55156353631271,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.0014555783429306916}",20,0,-52.78748045953788,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.0013100205086376223}",20,0,-59.12134388169356,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.0011790184577738603}",20,0,-17.622110900227906,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.0010611166119964743}",25,0,-190.75498834146424,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
66,False,"{'a': 0.2, 'e': 0.0009550049507968268}",30,10,-89.84571254424004,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
